measure_name,argument_key,argument_value,Material Category,Material Subcategory,GWP (kg per unit),unit_mapping,R_per_in,insulation_thickness,,,
adjust_infiltration_rates,default,1,,,0,wall_area,,,,,
adjust_infiltration_rates,default,0.9,Air Barrier,Liquid-Applied Air Barrier,4.8,wall_area,NaN,NaN,,,
adjust_infiltration_rates,default,0.75,Air Barrier,Liquid-Applied Air Barrier,5.52,wall_area,NaN,NaN,,,
adjust_infiltration_rates,default,0.6,Air Barrier,Liquid-Applied Air Barrier,8.4,wall_area,NaN,NaN,,,
adjust_infiltration_rates,default,0.4,Air Barrier,Liquid-Applied Air Barrier,9.6,wall_area,NaN,NaN,,,
upgrade_wall_insulation,default,R-10,Wood Sheathing,"Oriented Strand Board (OSB) - 1/2""",3.1,wall_area,NaN,NaN,,,
upgrade_wall_insulation,default,R-10,Insulation,Low density mineral wool board (R/in=4.1),16,wall_area,4.2,1,,,
upgrade_wall_insulation,default,R-10,Gypsum Board,"Glass-Mat Gypsum Board - 5/8""",5.4,wall_area,NaN,NaN,,,
upgrade_wall_insulation,default,R-15,Wood Sheathing,"Oriented Strand Board (OSB) - 1/2""",3.1,wall_area,NaN,NaN,,,
upgrade_wall_insulation,default,R-15,Insulation,Low density mineral wool board (R/in=4.1),16,wall_area,4.2,2,,,
upgrade_wall_insulation,default,R-15,Gypsum Board,"Glass-Mat Gypsum Board - 5/8""",5.4,wall_area,NaN,NaN,,,
upgrade_wall_insulation,default,R-20,Wood Sheathing,"Oriented Strand Board (OSB) - 1/2""",3.1,wall_area,NaN,NaN,,,
upgrade_wall_insulation,default,R-20,Insulation,Low density mineral wool board (R/in=4.1),16,wall_area,4.2,3,,,
upgrade_wall_insulation,default,R-20,Gypsum Board,"Glass-Mat Gypsum Board - 5/8""",5.4,wall_area,NaN,NaN,,,
upgrade_wall_insulation,default,R-25,Wood Sheathing,"Oriented Strand Board (OSB) - 1/2""",3.1,wall_area,NaN,NaN,,,
upgrade_wall_insulation,default,R-25,Insulation,Low density mineral wool board (R/in=4.1),16,wall_area,4.2,4,,,
upgrade_wall_insulation,default,R-25,Gypsum Board,"Glass-Mat Gypsum Board - 5/8""",5.4,wall_area,NaN,NaN,,,
upgrade_roof_insulation,default,R-20,Membrane Roofing,Single Ply TPO Membrane Roofing (60 mils),3.9,roof_area,NaN,NaN,,,
upgrade_roof_insulation,default,R-20,Gypsum Board,"Glass-Mat Gypsum Board (5/8"")",5.4,roof_area,NaN,NaN,,,
upgrade_roof_insulation,default,R-20,Insulation,Polyiso - roof - CFG facer (R/in=6.0),17.3,roof_area,6,3.5,,,
upgrade_roof_insulation,default,R-20,Gypsum Board,"Gypsum Board - 5/8"" Type X",3,roof_area,NaN,NaN,,,
upgrade_roof_insulation,default,R-30,Membrane Roofing,Single Ply TPO Membrane Roofing (60 mils),3.9,roof_area,NaN,NaN,,,
upgrade_roof_insulation,default,R-30,Gypsum Board,"Glass-Mat Gypsum Board (5/8"")",5.4,roof_area,NaN,NaN,,,
upgrade_roof_insulation,default,R-30,Insulation,Polyiso - roof - CFG facer (R/in=6.0),17.3,roof_area,6,5,,,
upgrade_roof_insulation,default,R-30,Gypsum Board,"Gypsum Board - 5/8"" Type X",3,roof_area,NaN,NaN,,,
upgrade_roof_insulation,default,R-40,Membrane Roofing,Single Ply TPO Membrane Roofing (60 mils),3.9,roof_area,NaN,NaN,,,
upgrade_roof_insulation,default,R-40,Gypsum Board,"Glass-Mat Gypsum Board (5/8"")",5.4,roof_area,NaN,NaN,,,
upgrade_roof_insulation,default,R-40,Insulation,Polyiso - roof - CFG facer (R/in=6.0),17.3,roof_area,6,6.5,,,
upgrade_roof_insulation,default,R-40,Gypsum Board,"Gypsum Board - 5/8"" Type X",3,roof_area,NaN,NaN,,,
upgrade_window_u_value,default,0.32,Window,Double-Pane Window (U-0.32),88,window_area,NaN,NaN,,,
upgrade_window_u_value,default,0.28,Window,Triple-Pane Window (U-0.28),91.7,window_area,NaN,NaN,,,
upgrade_window_u_value,default,0.22,Window,Triple-Pane Window (U-0.22),96.8,window_area,NaN,NaN,,,
upgrade_window_u_value,default,0.18,Window,Triple-Pane Window (U-0.18),99.7,window_area,NaN,NaN,,,
upgrade_hvac_system_choice,default,Condensing Boiler,Equipment,Central Condensing Gas Boiler (92% eff.),0.75,total_floor_area,,,,,
upgrade_hvac_system_choice,default,Mini-Split,Equipment,Wall-Mounted Ductless Mini-Split + ERV (1 kg/m2),5,apartment_floor_area,NaN,NaN,,,
upgrade_hvac_system_choice,default,Mini-Split,Refrigerant Leakage,R-32,640,per_unit,NaN,NaN,,,
upgrade_hvac_system_choice,default,Packaged HP,Equipment,Wall-Mounted Packaged Heat Pump + ERV (1 kg/m2),3,apartment_floor_area,NaN,NaN,,,
upgrade_hvac_system_choice,default,Packaged HP,Refrigerant Leakage,R-32,590,per_unit,NaN,NaN,,,
add_in_unit_erv,default,Add ERV,Equipment,In-Unit ERV,1,apartment_floor_area,NaN,NaN,,,
upgrade_dhw_to_hpwh,default,Upgrade,Equipment,Central CO2 Heat Pump Water Heater,158,per_building,NaN,NaN,,,
